,country_code
CN,78241
RU,41490
BR,18999
JP,16635
US,14377
IN,13090
VN,12949
EG,12483
AR,11996
TW,8593
KR,8566
TR,7430
MX,5251
GR,4881
HK,4820
CO,4530
SE,4097
IT,4022
IR,3796
UA,3760
RO,3227
PL,2861
ES,2685
GB,2654
TH,2499
ID,2474
BG,2179
FR,2071
CA,1767
SG,1638
DE,1605
MY,1537
MA,1455
CL,1373
VE,1279
AU,1111
TN,1095
IL,1079
ZA,980
NL,947
HU,943
CZ,891
PK,850
UY,697
NG,693
NO,592
EC,547
AE,529
RS,498
KZ,496
PT,490
PA,488
PH,453
BD,436
SA,425
DK,335
BE,332
BO,323
KW,297
LV,289
QA,274
JO,266
PE,256
AT,251
AM,250
OM,246
MD,221
CR,219
CY,209
DO,207
FI,202
CH,199
NZ,196
SK,195
IE,194
KH,193
AL,190
HR,190
GE,183
MK,165
PY,164
BA,163
MU,147
LT,147
MO,146
SI,138
PS,120
BY,114
ME,103
PR,102
LK,101
HN,98
TT,96
JM,95
DZ,88
NP,85
IQ,85
BH,79
SN,78
MV,71
ET,68
AZ,65
GT,64
BS,62
EE,55
KE,50
MT,47
FJ,44
GA,40
CI,38
BW,36
ZM,34
MN,34
UZ,34
GY,33
SR,33
KG,31
BN,26
AW,26
SV,26
LB,26
MZ,24
LA,23
GU,23
EU,22
BB,22
KY,21
TJ,20
TZ,19
LU,19
LY,18
BZ,17
CW,17
GH,17
YE,16
AF,16
UG,15
AG,14
BJ,14
JE,14
SD,14
NI,12
HT,12
IS,11
BQ,11
NC,11
TG,10
BF,10
AD,10
VG,9
GM,9
SY,9
RE,9
CM,8
AO,8
SX,7
SC,7
SZ,6
VU,5
LC,5
MM,5
GI,5
MG,5
VC,4
SM,4
MH,4
PF,4
DJ,4
GD,4
VI,3
PG,3
SO,3
ML,3
MP,2
GN,2
GF,2
DM,2
SL,2
NE,2
RW,2
ZW,2
KN,2
GQ,2
ST,2
LR,2
BM,2
MC,2
MW,2
CK,1
GG,1
MR,1
BT,1
CD,1
MQ,1
TM,1
LS,1
PW,1
BI,1
TO,1
KM,1
