,Destination Port
23,327540
2323,38364
5555,29601
22,29245
80,26314
8080,9532
81,5851
37215,4173
8081,3875
2222,3426
8000,3407
88,2735
82,2001
8888,1985
8001,1918
85,1852
84,1818
8088,1811
83,1779
443,1708
8443,1668
52869,1663
8181,1625
32764,1560
9000,1307
7547,793
2480,504
5984,436
3333,167
8089,141
8090,119
8083,88
55555,83
4145,71
23231,58
9527,57
49152,54
8010,44
16671,37
5000,37
1099,36
22528,35
37151,35
20736,34
14340,34
20992,34
36895,33
20480,33
554,29
6789,24
8082,21
64288,19
4135,17
42254,14
1080,14
100,13
8899,13
50000,12
45090,11
21248,11
47115,11
21504,10
31775,10
39455,10
37777,8
6177,5
256,5
3232,5
6124,4
7574,3
1101,3
20653,3
10000,3
2523,3
12763,3
8183,3
2882,3
2997,3
7287,2
5945,2
19058,2
1389,2
1056,2
32,2
8026,2
60538,2
54647,2
25143,2
6625,2
439,2
7515,2
20449,2
7835,2
6924,2
27127,2
8342,2
5203,2
1,2
2332,2
7218,2
7424,2
4354,2
8691,2
11400,2
37320,2
7904,2
3374,2
184,2
60921,2
63496,2
778,2
10483,2
6976,2
35453,2
8177,2
7013,2
5773,2
2149,2
7491,2
9105,2
7125,2
5894,2
8137,2
29719,2
8056,2
8065,2
7723,2
4832,2
48160,2
40130,2
2984,2
6067,2
61813,2
5275,2
8013,2
369,2
6674,2
12189,2
62770,2
16734,2
6776,2
43384,2
14693,2
21168,2
2243,2
6300,2
5102,2
5599,2
1745,2
23939,2
45259,2
1805,2
17755,2
60988,2
6220,2
5361,2
22263,2
6939,1
8141,1
7696,1
58326,1
7077,1
56111,1
44871,1
7086,1
5481,1
6729,1
912,1
13518,1
62286,1
21198,1
24971,1
9262,1
26,1
63082,1
58724,1
5243,1
50178,1
6768,1
5535,1
25085,1
42707,1
13835,1
60027,1
17597,1
8171,1
1592,1
2668,1
57224,1
1623,1
42272,1
47289,1
35190,1
39446,1
3959,1
38212,1
7272,1
57996,1
43629,1
8039,1
22812,1
61972,1
13423,1
3345,1
5146,1
6909,1
1318,1
6225,1
55775,1
49301,1
64587,1
64922,1
8435,1
29504,1
15290,1
46046,1
14356,1
1604,1
48450,1
3814,1
7646,1
30000,1
8158,1
6872,1
4467,1
5600,1
7346,1
3749,1
23075,1
7240,1
2019,1
7603,1
7926,1
4744,1
7114,1
63713,1
56357,1
14079,1
2814,1
4382,1
7496,1
7030,1
9245,1
19258,1
28791,1
17268,1
3966,1
54114,1
53979,1
28408,1
3865,1
65465,1
828,1
7048,1
7080,1
7431,1
1079,1
6608,1
53896,1
52710,1
63627,1
1261,1
58054,1
8585,1
57640,1
7701,1
3080,1
9069,1
47677,1
22928,1
26020,1
27991,1
8060,1
11631,1
31042,1
64407,1
38372,1
32708,1
45365,1
7055,1
46351,1
6774,1
50093,1
8395,1
55568,1
6737,1
10486,1
47227,1
54844,1
31914,1
27865,1
9324,1
9215,1
45358,1
39320,1
885,1
5182,1
18500,1
45519,1
53969,1
32810,1
5997,1
2660,1
635,1
16662,1
21447,1
7093,1
4283,1
2271,1
35369,1
8128,1
3796,1
19930,1
39846,1
9765,1
36687,1
16575,1
49136,1
56074,1
19656,1
8701,1
6325,1
24006,1
34403,1
2205,1
444,1
794,1
10999,1
6317,1
8875,1
17668,1
47675,1
40345,1
60813,1
5272,1
24478,1
52618,1
32052,1
24626,1
38756,1
48512,1
26321,1
31335,1
7863,1
6487,1
6805,1
9238,1
17748,1
19542,1
5937,1
40470,1
12604,1
59640,1
61746,1
25383,1
10109,1
5306,1
39395,1
38683,1
42034,1
48109,1
54509,1
50276,1
5271,1
3663,1
6788,1
54392,1
14056,1
7537,1
6201,1
2719,1
28867,1
31686,1
3342,1
61246,1
20439,1
6367,1
32585,1
57165,1
7674,1
7569,1
54765,1
49475,1
992,1
28357,1
24001,1
51753,1
1515,1
13247,1
60999,1
7161,1
18845,1
5460,1
7526,1
125,1
5854,1
8048,1
57356,1
26599,1
59465,1
42447,1
17317,1
6841,1
6810,1
62241,1
44544,1
19311,1
6708,1
17238,1
12036,1
54175,1
7758,1
6922,1
33732,1
41325,1
50823,1
5903,1
42454,1
18672,1
6543,1
7832,1
730,1
24514,1
33174,1
49109,1
64923,1
2073,1
2515,1
55763,1
5398,1
16106,1
6179,1
23152,1
1432,1
7374,1
3699,1
572,1
61134,1
3934,1
5752,1
37644,1
40056,1
4432,1
923,1
6891,1
35435,1
11833,1
2759,1
49469,1
3394,1
52786,1
60310,1
1558,1
38094,1
65196,1
7625,1
45753,1
55834,1
8110,1
57242,1
42375,1
38988,1
1401,1
8714,1
21049,1
7494,1
8164,1
8880,1
5174,1
8836,1
6969,1
64816,1
7229,1
35704,1
