,Source Port
1024,299
1152,235
1280,222
1536,185
1408,181
53950,179
1664,167
1025,153
1792,152
1281,143
1026,141
1920,140
1538,139
1410,137
12470,130
1154,128
1282,126
1666,124
1153,123
1283,122
1667,122
21903,121
53948,121
1411,120
1155,113
1027,110
27127,106
1539,105
1922,105
1794,104
1409,102
1537,99
1028,99
2048,99
2176,97
1665,96
17458,95
1795,94
1412,94
2050,94
31243,92
26028,91
1923,88
2304,88
1540,87
1284,87
1156,84
1668,82
61909,82
2051,79
2818,79
60446,78
2432,76
33261,76
1157,75
25084,74
1796,73
1793,72
2306,72
26639,71
32555,70
37667,70
2178,70
29187,70
1921,70
54987,70
2434,68
1285,68
2435,68
2562,67
1541,66
37192,66
44176,66
2052,65
2847,64
16613,64
36300,63
1413,63
2560,63
2049,63
44649,62
6072,62
2177,62
52255,61
1029,61
2816,60
30134,59
1925,59
2307,59
5120,59
52256,59
45260,58
2179,58
59549,57
1543,57
1924,56
27160,56
29058,56
1669,56
2053,56
2690,56
28878,55
55951,55
2946,54
1030,54
47129,54
54443,54
61824,54
1542,53
39103,53
2181,52
1670,52
2688,52
2308,52
49934,51
18464,51
55649,50
2565,50
2305,50
2944,50
3072,50
16632,50
55986,49
1287,49
16799,49
3200,49
3328,49
57262,49
18225,49
58310,49
55998,48
33841,48
3202,48
10317,48
33979,48
48039,47
3330,47
2180,47
35289,47
1415,47
1684,46
16422,46
2433,46
1671,46
1414,45
1288,45
1798,45
44924,44
59737,44
42875,44
47751,44
62395,44
1499,44
1797,44
33044,43
1672,43
3075,43
1286,43
7851,42
1544,42
55424,41
2563,41
2819,41
15782,41
37125,41
15950,40
8205,40
2691,40
2309,40
9368,39
1033,39
30173,39
2564,39
51615,38
3458,38
1032,38
2947,37
3455,37
6704,37
6564,37
20932,37
12893,37
25885,36
1800,36
47884,36
2310,36
8800,36
62143,35
3074,35
3968,35
2689,35
3456,35
13312,35
54624,35
1801,35
37146,35
22584,35
4224,35
14182,35
3584,35
8710,35
57558,35
29062,34
4643,34
5121,34
4265,34
43497,34
3331,34
61870,34
2945,34
1296,34
1159,34
57799,34
41252,34
2561,33
22987,33
35078,33
45368,33
55105,33
53595,33
1161,33
2437,33
31009,33
22213,33
2436,32
55152,32
29075,32
58201,32
34313,32
26261,32
3204,32
31947,32
53704,32
33391,32
1416,32
3203,32
9216,32
1927,32
53514,31
6478,31
63048,31
44846,31
3201,31
34437,31
5122,31
50402,31
3715,31
2693,31
47824,31
4099,31
13005,31
42244,31
9420,31
1545,31
1442,31
4096,31
2054,31
41809,30
5103,30
29847,30
60699,30
57420,30
2817,30
1160,30
7076,30
43081,30
52953,30
33743,30
28972,30
7289,30
52350,30
36585,30
49851,30
11576,30
61542,30
35350,30
17574,30
2566,30
1419,29
21195,29
41747,29
29013,29
21877,29
3712,29
24296,29
12023,29
1158,29
47220,29
32479,29
8634,29
8893,29
59811,29
55644,29
25629,28
33792,28
18907,28
3949,28
59686,28
2569,28
9692,28
2438,28
6492,28
42628,28
17527,28
31235,28
20822,28
22553,28
41553,28
16377,28
9872,28
1926,28
48851,28
45479,27
54612,27
53502,27
1548,27
3586,27
19987,27
28971,27
47362,27
26641,27
9623,27
32364,27
52377,27
31517,27
21135,27
7171,27
29696,27
1290,27
1420,27
2692,27
1163,27
4193,27
22138,27
20680,27
45356,27
21988,27
20029,27
64207,27
13368,27
3073,26
1547,26
17075,26
6820,26
20552,26
33892,26
1549,26
1035,26
13522,26
7070,26
5857,26
5518,26
18710,26
3238,26
37712,26
53093,26
2182,26
7969,26
43295,26
49510,26
45440,26
2055,26
53782,26
33516,26
1289,26
30550,26
54320,26
1292,26
4428,26
38339,26
44746,26
22336,26
7168,26
23177,26
3716,26
54777,26
3463,26
1682,26
2948,26
43762,26
39018,26
54574,26
4518,26
8846,26
61713,26
51851,26
2455,26
29585,26
6710,26
61962,25
15801,25
3714,25
1167,25
46802,25
50539,25
3329,25
60468,25
17252,25
32702,25
23,25
1291,25
7848,25
1162,25
2949,25
60918,25
58917,25
27508,25
60695,25
31745,25
34722,25
13625,25
7559,25
31427,25
15040,25
44678,25
7204,25
26464,25
8859,25
44170,25
1674,25
52444,25
2185,25
58318,25
5144,25
2058,25
56846,25
54798,25
43068,25
3588,25
19353,25
3843,25
3205,25
2312,25
45072,25
61454,25
60770,25
1034,25
1294,25
40418,24
49565,24
30759,24
36816,24
27811,24
64673,24
11295,24
2183,24
47782,24
43310,24
27493,24
29614,24
45461,24
33697,24
13162,24
45951,24
15864,24
48523,24
1425,24
26017,24
47093,24
1164,24
43810,24
52183,24
37905,24
5248,24
40291,24
1675,24
29778,24
23531,24
42879,24
57539,24
61709,24
7332,24
41521,24
18879,24
21504,24
13832,24
10657,24
52521,24
10738,24
23508,24
46510,24
36430,24
4226,24
58887,24
3213,24
5181,24
51591,24
6269,24
55593,24
27861,24
2820,24
44628,23
55170,23
13956,23
12518,23
41061,23
41933,23
20914,23
19755,23
23286,23
15669,23
64933,23
33075,23
1638,23
28586,23
59829,23
40090,23
42018,23
28506,23
23670,23
53662,23
1799,23
57090,23
4724,23
42334,23
39292,23
10993,23
37542,23
37043,23
47271,23
41667,23
47918,23
12908,23
60040,23
3332,23
52975,23
1166,23
52149,23
54925,23
28090,23
39908,23
23379,23
5118,23
56257,23
49706,23
50124,23
5061,23
6154,23
36931,23
10488,23
60257,23
3068,23
3083,23
36369,23
51561,23
61878,23
35500,23
58583,23
45417,23
9031,23
2057,23
21521,23
23501,23
61715,23
22365,23
39664,23
17169,23
60127,23
3076,23
5760,23
25489,23
4864,23
27416,23
9218,23
51244,23
17731,23
1037,23
24892,23
40964,23
55172,23
63860,23
28096,23
19300,22
23221,22
15473,22
1928,22
53735,22
56196,22
23486,22
58069,22
25891,22
5613,22
26503,22
2320,22
24002,22
25600,22
10053,22
60375,22
32779,22
20354,22
64136,22
2005,22
30032,22
9388,22
47638,22
50603,22
62687,22
50239,22
3457,22
9652,22
58142,22
53492,22
21273,22
25538,22
25961,22
1039,22
64554,22
28566,22
4480,22
20867,22
51828,22
34899,22
2994,22
3795,22
42348,22
33605,22
34050,22
18850,22
60248,22
3587,22
18052,22
4482,22
2593,22
61183,22
19191,22
16277,22
61726,22
4198,22
27216,22
2821,22
19360,22
26601,22
13369,22
61915,22
42556,22
45279,22
54360,22
20765,22
22737,22
47772,22
1551,22
17442,22
36835,22
57324,22
53617,22
3634,22
7989,22
2886,22
42059,22
64016,22
64057,22
56881,22
35990,22
65472,22
2022,22
45168,22
27760,22
55858,22
52017,22
52490,22
15166,22
7732,22
55523,22
3150,22
55842,22
22020,22
28487,21
50258,21
35969,21
3207,21
11475,21
2068,21
29623,21
4356,21
40542,21
2606,21
20084,21
59007,21
13453,21
13314,21
7232,21
24597,21
55558,21
11420,21
31333,21
51532,21
60460,21
18277,21
55984,21
10038,21
45789,21
42794,21
55724,21
4352,21
33466,21
7140,21
48251,21
19264,21
55026,21
37816,21
24687,21
38549,21
31699,21
26575,21
63916,21
43058,21
1933,21
50279,21
19409,21
10726,21
38169,21
29308,21
1503,21
32203,21
9217,21
48500,21
60556,21
25693,21
9654,21
51297,21
42426,21
10491,21
2938,21
43020,21
59100,21
5508,21
35882,21
63623,21
45894,21
22355,21
14701,21
54404,21
2568,21
39561,21
46836,21
49382,21
62847,21
4765,21
35347,21
62857,21
3459,21
36164,21
14130,21
63592,21
19412,21
5783,21
3840,21
65144,21
55307,21
41460,21
17532,21
29912,21
10878,21
53470,21
53804,21
33609,21
4951,21
29249,21
60514,21
5780,21
6422,21
3717,21
61608,21
11302,21
61155,21
1952,21
1100,21
58890,21
49273,21
6186,21
1931,21
58684,21
2007,21
6272,21
40840,21
4840,21
43012,21
8632,21
3335,21
22541,21
17779,21
16666,21
53063,21
35565,21
1678,21
17658,21
57311,21
21288,21
9416,21
2441,21
21491,21
42627,21
27873,21
24611,21
21692,21
9508,21
32760,21
1710,21
1550,21
1061,21
39473,21
45173,21
1929,21
14272,21
2189,21
4413,21
7280,21
53410,21
52730,21
30744,20
45945,20
63528,20
2825,20
64183,20
50706,20
49301,20
20469,20
29718,20
53483,20
43725,20
20130,20
18730,20
31274,20
55014,20
7783,20
59225,20
11080,20
2822,20
11623,20
57365,20
37580,20
13170,20
12842,20
58274,20
46885,20
46755,20
15779,20
26662,20
16029,20
53594,20
15705,20
58342,20
24846,20
24212,20
17409,20
29883,20
62680,20
32229,20
21688,20
1417,20
46465,20
50398,20
42903,20
5628,20
46054,20
31763,20
44525,20
52562,20
56836,20
62874,20
10116,20
18469,20
20807,20
32888,20
15688,20
49135,20
35416,20
18621,20
33684,20
27843,20
57244,20
31730,20
4098,20
49482,20
38405,20
30751,20
13392,20
19156,20
15360,20
23698,20
3078,20
50545,20
39518,20
56670,20
49006,20
43309,20
24404,20
51938,20
2009,20
46365,20
28117,20
32217,20
13355,20
19957,20
11522,20
29159,20
17216,20
49595,20
1894,20
55841,20
27272,20
49582,20
30935,20
8303,20
20176,20
42176,20
52274,20
1676,20
36401,20
53615,20
2190,20
19408,20
63119,20
38193,20
29705,20
31171,20
2824,20
56187,20
1656,20
43231,20
26873,20
1805,20
30129,20
36769,20
2697,20
37882,20
42391,20
53918,20
32951,20
57509,20
53501,20
4834,20
65476,20
53024,20
18354,20
27958,20
5579,20
62211,20
2315,20
39924,20
13880,20
58642,20
18029,20
64023,20
57258,20
51109,20
4209,20
1685,20
30069,20
28933,20
20731,20
58208,20
6319,20
39421,20
13445,20
19795,20
38149,20
51223,20
3855,20
19044,20
65528,20
54839,20
44019,20
8965,20
29701,20
16840,20
19969,20
1804,20
46960,20
42291,20
25358,20
2439,20
60449,20
24071,20
36193,20
46697,20
23881,20
64696,20
3500,20
27792,20
25675,20
27341,20
36936,20
4516,20
55378,20
23856,20
11032,20
53261,20
54921,20
7254,20
26704,20
21420,20
31820,20
3977,19
2809,19
35397,19
60005,19
52118,19
4641,19
1406,19
59274,19
39091,19
59970,19
42604,19
63879,19
21566,19
5772,19
36423,19
65355,19
39131,19
15283,19
23978,19
37129,19
26502,19
65130,19
1871,19
10924,19
6582,19
61533,19
3460,19
9467,19
56130,19
56056,19
38617,19
5256,19
43074,19
34048,19
2857,19
1044,19
47365,19
34620,19
23605,19
56416,19
44734,19
16374,19
37385,19
24360,19
20933,19
43814,19
10587,19
22480,19
9683,19
23772,19
55047,19
14841,19
43920,19
39477,19
51666,19
53361,19
56779,19
17192,19
17095,19
48203,19
26838,19
8325,19
42508,19
57467,19
40376,19
41772,19
40296,19
17240,19
8373,19
64198,19
24381,19
28140,19
26994,19
30062,19
51046,19
44481,19
13413,19
19530,19
25717,19
52560,19
2625,19
50740,19
51014,19
30667,19
31261,19
32431,19
25143,19
19110,19
29145,19
46166,19
57483,19
1932,19
23489,19
27436,19
35464,19
17448,19
53998,19
22662,19
22881,19
39241,19
13963,19
35068,19
35507,19
63927,19
21426,19
36512,19
4578,19
40808,19
64529,19
25733,19
62663,19
2186,19
16102,19
27850,19
1546,19
12127,19
26618,19
31956,19
40951,19
64253,19
2694,19
64847,19
32447,19
36100,19
1936,19
47562,19
35762,19
21422,19
4100,19
53543,19
16871,19
18257,19
49044,19
65207,19
36683,19
34277,19
35160,19
5797,19
50256,19
37826,19
18130,19
39235,19
54941,19
15254,19
55691,19
41231,19
6742,19
1293,19
43390,19
3842,19
63101,19
40294,19
22110,19
41374,19
11592,19
37010,19
63285,19
25082,19
30450,19
63902,19
42048,19
38209,19
50388,19
35604,19
21252,19
63418,19
50815,19
57410,19
29107,19
5998,19
63256,19
27503,19
38654,19
3589,19
27189,19
22227,19
21758,19
46602,19
24397,19
34708,19
41674,19
20528,19
15324,19
34907,19
51507,19
1802,19
23249,19
5000,19
16191,19
29491,19
36438,19
5125,19
27054,19
21572,19
17408,19
12601,19
37647,19
36524,19
50516,19
45336,19
54052,19
53545,19
2572,19
43899,19
1428,19
1600,19
22980,19
19344,19
14921,19
60251,19
36428,19
45953,19
29548,19
49079,19
25904,19
58819,19
25285,19
39174,19
31156,19
22460,19
61034,19
4205,19
40195,19
60054,19
63867,19
21458,19
9097,19
25350,19
50536,19
39341,19
64483,19
59520,19
14482,19
47611,19
39692,19
13360,19
6768,19
44395,19
57029,19
