,TCP Window Size
14600,1360
0,1020
1460,753
31412,731
45778,182
6299,133
17821,126
41666,119
20936,114
27102,97
8192,95
23087,95
23044,93
57877,93
29473,84
56360,81
40621,81
5840,77
18897,76
20528,76
38055,74
37698,73
58870,71
60950,69
37286,69
52520,68
57185,65
45059,62
6582,62
35059,61
23086,61
23122,60
16330,60
49328,60
40962,60
258,59
32829,59
26837,58
16949,56
7564,56
16424,54
10274,54
23489,53
56804,52
48159,52
31514,52
23963,51
15617,50
57694,50
56919,50
17272,50
35803,50
37546,49
9792,48
22755,48
37056,48
31432,48
39902,48
27294,48
47007,47
1447,47
19680,45
52101,45
22589,45
16288,45
45133,44
10316,44
34279,44
15900,43
2603,43
35081,43
62099,43
59755,43
1212,42
16493,42
37770,41
25697,41
23791,41
3869,41
32393,40
33764,40
816,40
43419,40
57788,39
17950,38
6696,38
16564,38
34467,38
22669,38
42501,37
11922,37
32294,37
795,37
59255,37
7486,37
792,36
17320,36
31209,36
63871,36
31387,36
53006,36
21293,36
12718,36
48204,36
3297,36
57137,35
61808,35
58692,35
17009,35
9908,34
49495,34
20082,34
38745,34
19659,34
26638,34
41198,34
16071,34
65535,34
2383,33
33519,33
22059,33
19867,33
36966,33
59021,33
54329,33
63992,32
58189,32
14873,32
21364,32
33529,32
55644,32
24791,32
51283,32
12185,31
33495,31
23741,31
2233,31
43623,31
28218,31
56432,31
64850,31
13410,31
10168,31
9021,31
54648,31
2299,31
53222,31
33158,31
11340,31
38297,30
40664,30
11964,30
64860,30
24888,30
3839,30
55702,30
55701,30
36889,30
42952,30
16390,30
33073,30
61415,30
4509,30
43066,30
8604,30
49656,30
2607,29
20299,29
30836,29
23333,29
34707,29
50669,29
46373,29
19273,29
24040,29
2845,29
31609,29
59159,29
1517,29
57248,29
62878,29
58722,29
24099,29
7498,29
2254,29
61921,29
21799,28
7779,28
57213,28
12226,28
56783,28
9710,28
16380,28
44765,28
29983,28
56646,28
38551,28
54853,28
12027,28
59043,28
56101,28
30275,28
36914,28
32650,28
21116,28
8878,28
37305,28
8098,28
49156,28
30996,28
6652,28
35058,28
61865,28
22754,28
63863,28
9004,27
658,27
16587,27
9454,27
63443,27
29000,27
24591,27
39371,27
46160,27
30687,27
37758,27
60328,27
31576,27
17050,27
42299,27
4573,27
51297,27
60393,27
18154,27
55827,27
39328,27
36581,27
48112,27
2824,27
17782,27
35275,27
25797,27
13719,27
22960,27
49263,27
60990,26
41176,26
7206,26
45648,26
46848,26
43414,26
29626,26
46617,26
41442,26
38472,26
27153,26
35076,26
2376,26
8367,26
25579,26
23372,26
50108,26
12640,26
35078,26
44166,26
36338,26
54827,26
3006,26
63631,26
60672,26
31891,26
2033,25
3727,25
25183,25
5515,25
34837,25
34608,25
52518,25
13334,25
26321,25
36734,25
29974,25
4125,25
59913,25
3003,25
7095,25
1704,25
40495,25
28096,25
52371,25
11194,25
561,25
43881,25
42094,25
5304,25
52588,25
30254,25
57905,25
45113,25
614,25
10993,25
19162,25
18933,25
24793,25
29133,25
11885,25
25825,25
54393,25
53338,25
43270,25
51894,25
34166,25
29243,25
43933,25
33024,25
18756,25
61986,24
13738,24
40595,24
53664,24
35250,24
15817,24
37618,24
13134,24
46431,24
39879,24
8219,24
28921,24
6147,24
41375,24
53636,24
61052,24
12354,24
34781,24
5502,24
23573,24
50202,24
64727,24
29298,24
19620,24
26639,24
65361,24
32738,24
39092,24
23105,24
6414,24
6767,24
5028,24
50603,24
35969,24
10428,24
8958,24
53984,24
37703,24
23244,24
30179,24
28566,24
32894,24
23225,24
7211,24
2589,24
28724,24
20691,24
36356,24
49951,24
33059,24
65042,24
34686,24
36765,24
46678,24
768,24
35311,24
13109,24
39599,24
31421,24
58913,24
13786,24
9077,24
37545,24
17077,24
7396,24
15779,24
24291,24
56692,23
62146,23
35618,23
26288,23
17108,23
14203,23
43164,23
34004,23
50559,23
57687,23
54422,23
44276,23
42011,23
16358,23
20436,23
48792,23
36729,23
22231,23
50532,23
53487,23
17239,23
39443,23
48225,23
1864,23
60033,23
46072,23
31232,23
504,23
25430,23
64240,23
27063,23
39667,23
26718,23
23116,23
41949,23
62713,23
56802,23
3293,23
5237,23
1791,23
55994,23
21862,23
19996,23
44057,23
43445,23
42917,23
18662,23
26615,23
57542,23
61485,23
34615,23
45838,23
46563,23
56935,23
45313,23
2942,23
1619,23
56321,23
31692,23
30233,23
65505,23
21936,23
32124,23
15541,23
16430,23
60017,23
20322,23
13653,23
56239,23
32973,23
19483,23
20326,23
13669,23
1254,23
51353,22
46501,22
14734,22
55251,22
22817,22
52159,22
8272,22
49572,22
8019,22
31132,22
12631,22
56126,22
59646,22
61823,22
53548,22
4933,22
32227,22
20475,22
38459,22
43249,22
2455,22
65518,22
45026,22
44463,22
40754,22
65371,22
43718,22
51795,22
17494,22
42248,22
54702,22
41320,22
58773,22
45688,22
34283,22
51897,22
12859,22
63279,22
14916,22
32177,22
36949,22
40356,22
64255,22
16418,22
27191,22
48964,22
56628,22
62636,22
47368,22
7011,22
62804,22
54002,22
5739,22
21797,22
55685,22
16384,22
21775,22
21168,22
19621,22
64884,22
55984,22
25490,22
11902,22
51825,22
3998,22
1564,22
10429,22
6241,22
49902,22
979,22
54566,22
19426,22
65352,22
58451,22
10431,22
64786,22
53443,22
62023,22
56247,22
48283,22
49235,22
4772,22
11421,22
19499,22
15845,22
