,IP,asn_country_code,country_code
0,120.221.19.35,,CN
1,60.251.189.212,,TW
2,218.77.187.194,,CN
3,37.191.196.1,,NO
4,109.225.74.126,,SE
5,122.2.223.242,,PH
6,159.65.225.77,,US
7,96.71.207.229,,US
8,58.182.197.73,,SG
9,42.61.24.202,,SG
10,111.40.166.130,,CN
11,182.55.191.209,,SG
12,125.160.17.32,,ID
13,58.53.219.75,,CN
14,58.96.241.158,,SG
15,58.210.237.62,,CN
16,142.93.116.23,,US
17,223.220.170.246,,CN
18,218.84.70.60,,CN
19,182.55.143.3,,SG
20,178.128.45.4,,NL
21,61.160.254.19,,CN
22,68.183.164.32,,US
23,118.200.149.210,,SG
24,157.230.0.13,,US
25,120.132.125.90,,CN
26,223.68.134.29,,CN
27,218.28.239.250,,CN
28,220.180.155.26,,CN
29,61.74.37.155,,KR
30,219.147.95.246,,CN
31,68.183.108.233,,US
32,165.227.168.48,,US
33,178.128.10.163,,NL
34,68.183.110.254,,US
35,218.156.38.233,,KR
36,123.150.200.121,,CN
37,122.152.210.200,,CN
38,175.156.98.29,,SG
39,78.96.32.107,,RO
40,221.230.7.85,,CN
41,109.226.220.205,,RU
42,206.189.157.243,,US
43,142.93.217.156,,US
44,68.183.162.249,,US
45,58.182.74.100,,SG
46,61.164.96.82,,CN
47,118.85.194.26,,CN
48,181.65.251.227,,PE
49,64.113.113.158,,US
50,221.214.60.28,,CN
51,36.155.7.4,,CN
52,218.156.38.185,,KR
53,142.93.125.229,,US
54,60.173.82.156,,CN
55,61.164.96.158,,CN
56,165.227.222.234,,US
57,61.164.97.34,,CN
58,218.156.38.33,,KR
59,60.12.215.85,,CN
60,124.47.21.22,,CN
61,176.102.196.162,,UA
62,122.116.217.162,,TW
63,178.128.218.3,,NL
64,206.189.194.192,,US
65,222.186.66.6,,CN
66,80.211.33.156,,IT
67,149.56.206.195,,CA
68,60.172.5.25,,CN
69,223.87.73.224,,CN
70,195.9.141.238,,RU
71,222.55.211.75,,CN
72,89.249.1.170,,DK
73,61.239.249.170,,HK
74,61.153.56.30,,CN
75,176.112.64.131,,RU
76,38.68.160.156,,US
77,39.109.207.176,,SG
78,111.61.52.53,,CN
79,94.32.67.212,,IT
80,115.69.248.12,,IN
81,206.189.82.107,,US
82,220.179.77.183,,CN
83,217.61.5.246,,IT
84,121.221.132.73,,AU
85,218.156.38.130,,KR
86,115.43.175.111,,TW
87,221.122.101.203,,CN
88,90.150.90.182,,RU
89,192.117.232.178,,IL
90,175.198.234.62,,KR
91,103.231.163.254,,BD
92,23.99.229.228,,US
93,79.60.230.61,,IT
94,77.107.41.186,,SE
95,82.193.135.136,,RU
96,218.2.197.240,,CN
97,177.73.33.15,,BR
98,43.225.180.10,,CN
99,184.174.182.149,,US
100,202.100.182.250,,CN
101,218.156.85.17,,KR
102,221.214.60.11,,CN
103,142.93.39.232,,US
104,61.164.96.174,,CN
105,60.172.5.95,,CN
106,221.124.48.81,,HK
107,183.90.97.138,,SG
108,58.96.214.150,,SG
109,187.162.253.199,,MX
110,118.194.132.112,,CN
111,222.55.210.119,,CN
112,58.182.141.238,,SG
113,185.244.25.148,,NL
114,209.141.42.221,,US
115,104.248.116.118,,US
116,67.215.234.210,,US
117,103.210.135.136,,IN
118,207.180.236.39,,DE
119,111.40.168.90,,CN
120,104.248.120.63,,US
121,24.143.48.36,,US
122,113.4.131.140,,CN
123,110.235.250.213,,KH
124,117.71.18.20,,CN
125,206.189.11.145,,US
126,218.156.38.217,,KR
127,122.13.72.99,,CN
128,222.164.229.94,,SG
129,68.183.169.215,,US
130,87.251.82.211,,RU
131,61.164.96.182,,CN
132,142.93.214.19,,US
133,212.119.226.198,,RU
134,157.230.3.234,,US
135,173.15.98.210,,US
136,58.152.44.28,,HK
137,121.7.28.85,,SG
138,167.99.198.17,,US
139,60.166.40.26,,CN
140,50.249.177.140,,US
141,185.244.25.236,,NL
142,220.72.138.187,,KR
143,185.244.25.106,,NL
144,200.2.197.2,,CL
145,174.84.0.60,,US
146,104.248.127.198,,US
147,185.244.25.133,,NL
148,142.93.232.5,,US
149,58.42.228.170,,CN
150,120.28.151.44,,PH
151,223.112.102.250,,CN
152,113.108.221.106,,CN
153,90.150.21.51,,RU
154,116.87.117.8,,SG
155,67.43.109.124,,US
156,210.13.64.18,,CN
157,216.201.240.242,,US
158,79.60.42.116,,IT
159,159.89.42.173,,US
160,114.116.30.74,,CN
161,121.186.78.189,,KR
162,209.141.47.176,,US
163,176.197.7.126,,RU
164,202.130.117.2,,HK
165,74.93.73.169,,US
166,104.248.34.77,,US
167,211.193.211.96,,KR
168,222.92.19.227,,CN
169,212.247.48.66,,SE
170,221.2.156.42,,CN
171,114.255.183.86,,CN
172,122.116.237.12,,TW
173,221.182.115.133,,CN
174,58.67.193.126,,CN
175,206.189.81.27,,US
176,185.11.146.163,,NL
177,119.176.46.177,,CN
178,206.189.21.255,,US
179,183.230.146.26,,CN
180,220.134.69.4,,TW
181,211.216.76.139,,KR
182,112.105.152.188,,TW
183,5.56.27.145,,UA
184,60.172.229.172,,CN
185,41.175.231.11,,MU
186,211.155.27.102,,CN
187,195.9.166.222,,RU
188,185.67.100.133,,IR
189,85.191.68.61,,DK
190,103.214.7.100,,NL
191,68.183.184.95,,US
192,121.14.7.244,,CN
193,193.112.104.178,,CN
194,185.244.25.201,,NL
195,222.164.111.158,,SG
196,91.222.25.140,,PL
197,115.231.86.11,,CN
198,182.55.173.108,,SG
199,170.178.162.244,,US
200,61.78.193.81,,KR
201,85.197.162.91,,SE
202,93.115.64.104,,RO
203,104.248.73.96,,US
204,125.88.5.218,,CN
205,180.169.107.150,,CN
206,94.207.28.160,,AE
207,37.191.215.64,,NO
208,184.70.34.30,,CA
209,213.242.113.178,,GB
210,188.213.165.8,,IT
211,190.120.10.246,,SV
212,218.212.94.22,,SG
213,129.204.14.81,,CN
214,178.62.123.184,,EU
215,218.67.116.51,,CN
216,78.39.193.26,,IR
217,80.211.238.140,,IT
218,178.16.101.164,,PL
219,23.100.87.79,,US
220,92.81.125.130,,RO
221,185.244.25.140,,NL
222,96.74.232.209,,US
223,220.74.131.92,,KR
224,116.88.85.188,,SG
225,182.55.47.164,,SG
226,83.234.96.38,,RU
227,185.244.25.143,,NL
228,116.48.148.154,,HK
229,185.107.227.192,,NL
230,118.24.40.209,,CN
231,142.93.168.157,,US
232,206.189.125.119,,US
233,123.157.138.165,,CN
234,87.241.105.57,,SE
235,61.238.44.178,,HK
236,205.185.113.127,,US
237,180.76.243.210,,CN
238,193.71.189.132,,NO
239,58.185.70.86,,SG
240,94.255.247.114,,SE
241,182.19.203.51,,SG
242,67.55.200.84,,US
243,81.82.245.83,,BE
244,103.245.77.40,,KH
